TEAM,MATCH UP,GAME DATE,Win/Loss,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus
UTA,UTA @ HOU,4/14/2019,L,240,90,30,77,39,7,27,25.9,23,27,85.2,7,34,41,17,6,2,19,20,-32
UTA,UTA vs. HOU,4/22/2019,W,240,107,37,86,43,11,35,31.4,22,26,84.6,16,36,52,24,7,7,15,19,16
UTA,UTA @ HOU,4/24/2019,L,240,93,35,94,37.2,9,38,23.7,14,19,73.7,14,33,47,26,8,4,16,22,-7
UTA,UTA @ HOU,4/17/2019,L,240,98,39,98,39.8,8,38,21.1,12,18,66.7,15,33,48,27,16,3,12,26,-20
UTA,UTA vs. HOU,4/20/2019,L,240,101,32,77,41.6,12,41,29.3,25,38,65.8,7,41,48,21,9,11,14,22,-3
TOR,TOR @ GSW,6/7/2019,W,240,105,36,86,41.9,10,32,31.3,23,24,95.8,7,32,39,22,12,4,11,21,13
TOR,TOR @ GSW,6/5/2019,W,240,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,9,10,16,22,14
TOR,TOR vs. ORL,4/16/2019,W,240,111,42,87,48.3,11,35,31.4,16,17,94.1,6,36,42,25,10,5,7,23,29
TOR,TOR @ ORL,4/19/2019,W,240,98,39,87,44.8,11,28,39.3,9,10,90,8,35,43,26,9,3,13,23,5
TOR,TOR vs. PHI,5/12/2019,W,240,92,34,89,38.2,7,30,23.3,17,19,89.5,16,33,49,15,10,4,10,22,2
TOR,TOR vs. MIL,5/21/2019,W,240,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,18
TOR,TOR @ ORL,4/21/2019,W,240,107,40,75,53.3,11,28,39.3,16,18,88.9,7,38,45,23,11,6,14,20,22
TOR,TOR vs. GSW,6/2/2019,L,240,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,-5
TOR,TOR vs. PHI,5/7/2019,W,240,125,40,82,48.8,16,40,40,29,33,87.9,6,36,42,22,12,2,13,18,36
TOR,TOR vs. PHI,4/29/2019,L,240,89,33,90,36.7,10,37,27,13,15,86.7,9,27,36,20,10,4,13,22,-5
TOR,TOR vs. ORL,4/23/2019,W,240,115,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,19
TOR,TOR @ MIL,5/15/2019,L,240,100,34,92,37,15,42,35.7,17,20,85,8,38,46,17,9,4,12,21,-8
TOR,TOR vs. GSW,5/30/2019,W,240,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,9
TOR,TOR vs. MIL,5/19/2019,W,290,118,40,102,39.2,17,45,37.8,21,26,80.8,8,47,55,28,11,10,17,30,6
TOR,TOR @ PHI,5/5/2019,W,240,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,6,3,14,24,5
TOR,TOR @ MIL,5/23/2019,W,240,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,6
TOR,TOR @ GSW,6/13/2019,W,240,114,39,82,47.6,13,33,39.4,23,29,79.3,11,28,39,25,8,2,12,23,4
TOR,TOR @ PHI,5/2/2019,L,240,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,-21
TOR,TOR vs. GSW,6/10/2019,L,240,105,38,85,44.7,8,32,25,21,27,77.8,13,30,43,19,6,5,13,19,-1
TOR,TOR @ MIL,5/17/2019,L,240,103,37,87,42.5,10,32,31.3,19,25,76,6,34,40,19,3,6,14,30,-22
TOR,TOR @ PHI,5/9/2019,L,240,101,35,81,43.2,9,36,25,22,29,75.9,9,25,34,25,9,4,12,24,-11
TOR,TOR vs. MIL,5/25/2019,W,240,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,7,4,11,24,6
TOR,TOR vs. PHI,4/27/2019,W,240,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,13
TOR,TOR vs. ORL,4/13/2019,L,240,101,40,88,45.5,12,36,33.3,9,14,64.3,6,39,45,23,4,4,13,19,-3
SAS,SAS @ DEN,4/27/2019,L,240,86,31,85,36.5,6,23,26.1,18,20,90,8,37,45,19,3,5,6,20,-4
SAS,SAS @ DEN,4/16/2019,L,240,105,39,86,45.3,5,18,27.8,22,25,88,11,39,50,20,3,3,10,20,-9
SAS,SAS vs. DEN,4/25/2019,W,240,120,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,3,7,8,17,17
SAS,SAS vs. DEN,4/20/2019,L,240,103,37,79,46.8,5,17,29.4,24,32,75,11,35,46,23,4,4,10,22,-14
SAS,SAS vs. DEN,4/18/2019,W,240,118,44,89,49.4,7,18,38.9,23,32,71.9,15,30,45,24,9,2,6,20,10
SAS,SAS @ DEN,4/13/2019,W,240,101,40,83,48.2,7,15,46.7,14,20,70,10,37,47,20,4,4,11,17,5
